id,password,last_login,is_superuser,email,text_password,first_name,last_name,date_joined,is_staff,is_active,avatar,modified_datetime,created_datetime,end_datetime,reset_token,reset_token_datetime,contact_number,preferred_module,one_signal_device_id,associated_client_id,associated_entity_id,customer_id,gender_id,language_id,modified_by_id,role_id,status_id,type_id,user_image,username,pop_up_notification,employement_type,fcm_tokens,read_only,department,designation,is_first_time_login,fuel,id,name,created_datetime,modified_datetime,end_datetime,assignments,speed,volume,density,temperature,location,registration,engine_number,chassis_number,make,model,color,year,odo_reading,engine_capacity,wheels,volume_capacity,date_commissioned,obd2_compliant,cnic,dob,date_of_joining,salary,photo,description,source_address,destination_address,destination_latlong,source_latlong,job_start_datetime,job_end_datetime,territory,age,squad_number,weight,ethnicity,past_club,player_position,date_of_match,weather_forecast,lactation_days,last_breeding,start_time,end_time,skip_rate,imei_assign,breed_id,client_id,contracted_type_id,customer_id,device_name_id,entity_sub_type_id,fleet_id,gender_id,group_id,job_status_id,lactation_status_id,leased_owned_id,maintenance_type_id,marital_status_id,match_type_id,modified_by_id,module_id,routine_type_id,skip_size_id,status_id,territory_type_id,type_id,use_case_id,fuel_average,category_id,is_poi,maintenance_probability,driver_group_id,zone_access_type,shift,files_name,poi_radius,on_shift
506,pbkdf2_sha256$180000$KF2ZGDdUOSA5$FoEY88oYGWJWkGliB9ewLmqKK9VH2TyeU3G7Voa8YFQ=,2022-02-25 07:17:32.657466+00,,email@30072,Aa123456,naggooooooooo,"",2022-02-20 09:58:27.519687+00,1,1,"",,2022-02-20 09:58:27.519756+00,,S$CjJxYI6oCJvM7V5@02i6(fR4Qg2a,2022-02-20 09:58:27.65167+00,4694,1,,,558,9,,9,47,3,1,"0",public/no_image.png,email@25889,,,,,,,1,,558,naggooooooo edit,2022-02-20 09:58:27.301378+00,2022-04-24 08:01:44.997624+00,,"0",,,,,,,,,,,,,,,,,,,36821,1950-02-02,2022-02-04,67,avatars/WhatsApp_Image_2022-02-16_at_1.14.52_PM.jpeg,,,,,,,,,,,,,,,,,"0",,,,,,,,,9,,,,4,,,,,,6,,47,1,,,"0",,5,1,5,,,,,"0",1,"",50,
270,pbkdf2_sha256$180000$rf1wFJxDje26$t2Z/rc7ovMcjEd3Xr939wBTDLm65YJckqnXe8FABgn4=,,,alkhebra@gmail.com,12345678Q$a,Asraf,"",2021-11-07 09:12:04.776969+00,1,1,"",,2021-11-07 09:12:04.777043+00,,dAAgHu4JueGZd*S@XSpki9H(u0q15U,2021-11-07 09:12:04.935739+00,+9740000000000,1,,,299,58,,9,256,3,2,,public/no_image.png,alkhebra@gmail.com,1,,,,,,1,,299,Asraf,2021-11-07 09:12:04.732136+00,2021-11-27 22:30:04.37126+00,,"0",,,,,,,,,,,,,,,,,,,"00000",1950-02-01,2021-11-03,"0","",,,,,,,,,,,,,,,,,"0",,,,,,,,,58,,,,3,,,,,,6,,270,1,,,2,,5,1,5,,1,,,"0",1,"",50,
508,pbkdf2_sha256$180000$MbWaEJfK3XGT$frsgSY5B6a9muee4HyRUkfM8x4IsY5HZhmvzXkhw28M=,,,testdriver@yopmail.com,Aa123456@,isma,"",2022-02-20 14:31:50.585063+00,1,1,"",,2022-02-20 14:31:50.585122+00,,kH(qfFC67esJimb4$cLcPMQ8ketsWS,2022-02-20 14:31:50.705848+00,+97432423423,1,,,559,121,,9,283,3,1,,public/no_image.png,testdriver@yopmail.com,1,,,,,,1,,559,isma,2022-02-20 14:31:50.407185+00,2022-02-20 14:31:50.446187+00,,"0",,,,,,,,,,,,,,,,,,,234234,1950-02-07,2022-02-02,242342,avatars/Capture1.PNG,,,,,,,,,,,,,,,,,"0",,,,,,,,,121,,,,3,,,,,,6,,283,1,,,1,,5,1,5,,,,,"0",1,"",50,
304,pbkdf2_sha256$180000$g38NW1Ojg8kI$4VVv4+F+wV7tDtzTj1S0nl1xKS7pSW+CdbtMp1GMb0Y=,,,email@64636,Aa123456@,Driver,"",2021-11-18 20:01:16.669811+00,1,1,"",,2021-11-18 20:01:16.669898+00,,bt$Rvs)62lA)Ap$U16l)((DC4EsBLS,2021-11-18 20:01:17.401636+00,10704,1,,,310,146,,9,303,3,1,"0",public/no_image.png,email@27179,1,,,,,,1,,310,Driver,2021-11-18 20:01:16.356001+00,2022-03-14 08:09:04.659597+00,,"0",,,,,,,,,,,,,,,,,,,98515,1950-02-02,2021-11-03,2000,"",,,,,,,,,,,,,,,,,"0",,,,,,,,,146,,,,3,,,,,,8,,304,1,,,"0",,5,1,5,,,,,"0",1,"",50,1
328,pbkdf2_sha256$180000$mDAjyFk7eZM6$ZZ5adUy4Y6u7npIJXGNFCvW9QwCKk5pKl3LflvEORVU=,2021-11-28 18:42:07.081787+00,,mfaisalm.120@gmail.com,Faisal@123456,Faisal,"",2021-11-28 18:05:46.991948+00,1,1,"",,2021-11-28 18:05:46.991993+00,,@oZQtSHv9joP2$3f*yQe3dFDhFprHP,2021-11-28 18:05:47.102201+00,+97430589174,1,,,349,21,,9,78,3,1,,public/no_image.png,mfaisalm.120@gmail.com,1,,e2qoxaJLRQW2EI8gGHbLE5:APA91bEaxRrlGaz_tlnHub3uIXsB00cUzP7DsaungxydH6HQynWV5KbVZ_q-ltznrxrhAnokQFyCdHLkK7RT_lptbAIDMiGqP_aChOZCmomMyiQlbQnPrfVKUrszG8q2pa_sQU-yIRja,,,,1,,349,Faisal,2021-11-28 18:05:46.955661+00,2021-11-29 14:30:04.420064+00,,"0",,,,,,,,,,,,,,,,,,,1234546,1950-03-28,2021-11-28,1234,"",,,,,,,,,,,,,,,,,"0",,,,,,,,,21,,,,3,,,,,,6,,328,1,,,1,,5,1,5,,,,,"0",1,"",50,
412,pbkdf2_sha256$180000$eUPTWssf7aP6$y0M5G6deImokxsPv9607mQRX/CS2N2hmLHikQpgUtdA=,,,naggo3@yopmail.com,Aa123456,nagina,"",2022-01-14 12:57:29.68345+00,1,1,"",,2022-01-14 12:57:29.683504+00,,NOxBj8ioB1D@HY1C6T1k7r6ZhMmqv0,2022-01-14 12:57:29.79689+00,+97444444442,1,,,472,203,,9,411,3,1,,public/no_image.png,naggo3@yopmail.com,1,,,,,,1,,472,nagina driver,2022-01-14 12:57:29.65211+00,2022-01-14 12:57:48.949497+00,,"0",,,,,,,,,,,,,,,,,,,3334,1950-02-01,2022-01-07,33,"",,,,,,,,,,,,,,,,,"0",,,,,,,,,203,,,,3,,,,,,6,,411,1,,,1,,5,1,5,,,,10,"0",1,"",50,
390,pbkdf2_sha256$180000$bwabvCABXWCe$d8KIK6JIt7pVJiWaI+NtGRg6a/EtKFZ2aOKWmxQV2fg=,,,aasd@ad.com,Test@123,createDriverTest,"",2021-12-30 12:03:00.960697+00,1,1,"",,2021-12-30 12:03:00.960744+00,,kx79o*QX0hd@plfh7kdARV)Jjoatb1,2021-12-30 12:03:01.07591+00,+974+9742314234234,1,,,448,195,,9,383,3,1,,public/no_image.png,aasd@ad.com,1,,,,,,1,,448,createDriverTest,2021-12-30 12:03:00.929741+00,2021-12-30 12:03:00.939524+00,,"0",,,,,,,,,,,,,,,,,,,312423423,1950-02-16,2021-12-04,231,"",,,,,,,,,,,,,,,,,"0",,,,,,,,,195,,,,3,,,,,,6,,383,1,,,1,,5,1,5,,,,,"0",1,"",50,
44,pbkdf2_sha256$180000$JdIcVJY0KiBo$OUdia0/Qz0MK1FApOG2RykzeUhFpoZA694Qz+JK2zOo=,,,huram@gmail.com,Aa123456,Huram,"",2021-05-30 11:14:14.307032+00,1,1,"",,2021-05-30 11:14:14.307104+00,,RHlq1*lHizQEOQ1BPMy)(Q!gqbfL$F,2021-05-30 11:14:14.426218+00,+97422332343,1,,,42,,,9,15,3,1,,public/no_image.png,huram@gmail.com,,,,,,,1,,42,Huram Farhan,2021-05-30 11:14:14.276121+00,2021-08-21 11:47:24.834639+00,,"0",,,,,,,,,,,,,,,,,,,1220016,1997-02-04,2018-03-02,22222,"",,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,4,,,,,,6,,44,1,,,"0",,5,1,5,,,,3,"0",1,"",50,
62,pbkdf2_sha256$180000$rq4cN8SVqZMw$Oq61H+/x/yxQYK7aWEQfSHHhz4UJzPA6yssiYzpQWnU=,,,email@82536,Password123#,xaxz,"",2021-06-11 13:40:14.247301+00,1,1,"",,2021-06-11 13:40:14.247366+00,,bF2e35*X@GzbWTGzWKRzkBp2JZIyc4,2021-06-11 13:40:14.388491+00,20731,1,,,151,9,,9,47,3,1,"0",public/no_image.png,email@46865,1,,,,,,1,,151,xaxz,2021-06-11 13:40:14.210083+00,2021-06-11 13:43:11.458418+00,,"0",,,,,,,,,,,,,,,,,,,24581,1998-03-11,2021-06-10,50000,"",,,,,,,,,,,,,,,,,"0",,,,,,,,,9,,,,3,,,,,,7,,47,1,,,"0",,5,1,5,,1,,,"0",1,"",50,
330,pbkdf2_sha256$180000$YkUSLLgAaZXr$q6hJKETg6s1KWaln7OUfnM4sZhCsZE8odHjnVxWLkKY=,2021-11-29 07:48:15.350331+00,,me@hi.com,Aa123456@,New,"",2021-11-29 07:43:10.380325+00,1,1,"",,2021-11-29 07:43:10.380382+00,,nYs60FLZahHCs)Hp5z(d0NkSGW6Cd*,2021-11-29 07:43:10.494461+00,+9740009990009,1,,,360,21,,9,78,3,1,,public/no_image.png,me@hi.com,1,,dH2BwiiAkEPWmqBfTSeHH0:APA91bHgMOup-Nw4n_A-GtPezk0F3MU_QsesYWpDl2otVvMlt6dXG9q9Z7LGrjNgDVsCyWcinVgaG1M_BjfWMH3r6vaqCdkl6aTsUPXpO6wDvTXqvzZxylHYDzbRmQdPuaXA12bwJKkT,,,,1,,360,New,2021-11-29 07:43:10.335931+00,2021-11-29 07:43:10.357788+00,,"0",,,,,,,,,,,,,,,,,,,"00990",1950-02-01,2021-11-03,700,"",,,,,,,,,,,,,,,,,"0",,,,,,,,,21,,,,3,,,,,,7,,78,1,,,1,,5,1,5,,,,,"0",1,"",50,
